Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,jakarta barat,grogol petamburan,jelambar,4520,7102,7378,460,256,17,20,15,2,1,9,11,1,11355,38,2,9,368,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,9,6,0,0,0,1,0,18,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,209,0,9,5,3,0,4,114,5,9,2,3,0,0,4,0,61,0,0,173,0,0,34,2578,583
2013,jakarta barat,grogol petamburan,tanjung duren selatan,4069,5103,5352,484,274,14,14,11,3,2,7,6,1,9270,54,3,3,271,3,0,0,11,0,0,0,0,0,0,6,0,0,0,0,2,11,0,0,0,1,0,14,0,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,26,149,0,17,7,8,6,8,122,9,10,1,1,0,0,0,3,69,0,0,327,0,0,1,1951,271
2013,jakarta barat,grogol petamburan,jelambar baru,5599,9604,9856,189,69,15,9,0,2,3,4,3,0,14321,3,1,2,224,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,24,1,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,183,1,4,0,0,0,0,55,3,5,0,0,0,0,2,0,64,0,0,171,0,0,3,3577,278
2013,jakarta barat,grogol petamburan,wijaya kusuma,6396,9220,9481,263,121,21,23,7,6,2,19,7,5,13146,63,1,10,752,1,0,0,4,0,0,0,0,0,1,4,0,0,0,0,2,5,0,0,0,0,0,24,0,24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20,222,0,9,2,2,0,2,74,8,9,1,1,0,0,2,0,166,0,0,393,0,0,2,3521,555
2013,jakarta barat,taman sari,taman sari,2340,4119,3849,149,24,6,4,24,2,0,1,0,0,5561,5,0,3,339,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,15,4,1,0,1,0,0,19,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,0,2,0,2,0,1,26,0,2,1,0,0,0,0,1,27,0,0,194,0,0,8,1040,120
2013,jakarta barat,taman sari,krukut,3164,5217,5276,103,37,5,3,0,2,2,14,2,7,6427,14,1,4,587,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,5,3,0,0,0,0,0,2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,85,1,4,5,0,0,1,24,1,1,0,0,0,0,0,0,78,0,0,215,0,0,0,1520,320
2013,jakarta barat,taman sari,maphar,2587,4273,4474,111,32,4,2,0,2,0,10,2,1,6567,10,1,5,12,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,6,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,0,7,2,1,0,0,46,0,0,0,0,0,1,0,0,66,0,1,5,0,0,0,1882,282
2013,jakarta barat,taman sari,tangki,2109,3421,3214,65,9,5,5,8,2,1,2,2,2,5824,1,0,3,434,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,8,5,1,0,0,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,1,0,0,2,0,12,1,5,0,1,0,0,0,0,34,0,0,179,1,0,0,686,89
2013,jakarta barat,taman sari,mangga besar,984,2117,1899,147,10,0,1,1,2,0,1,0,4,2968,2,0,4,120,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,5,3,1,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,0,2,4,1,0,1,22,0,0,2,0,0,0,0,0,33,0,0,80,0,0,0,592,56
2013,jakarta barat,taman sari,keagungan,3055,4230,4090,120,44,9,9,45,2,0,8,10,2,6689,11,1,25,503,2,0,0,2,0,1,0,0,0,1,9,1,0,0,0,12,2,0,0,0,1,0,2,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,1,3,0,2,1,0,13,2,6,0,0,0,0,2,0,75,0,0,382,0,0,0,1286,312
