Tahun,Kabupaten,Kecamatan,Kelurahan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,jakarta barat,taman sari,taman sari,8199,8206,215,486
2015,jakarta barat,taman sari,krukut,10976,11084,107,322
2015,jakarta barat,taman sari,maphar,9944,9033,220,534
2015,jakarta barat,taman sari,tangki,7370,7432,156,322
2015,jakarta barat,taman sari,mangga besar,4319,4385,65,167
2015,jakarta barat,taman sari,keagungan,9920,10135,161,243
2015,jakarta barat,taman sari,glodok,4216,4133,90,283
2015,jakarta barat,taman sari,pinangsia,6160,6422,92,90
2015,jakarta barat,tambora,tambora,6088,6079,84,191
2015,jakarta barat,tambora,kali anyar,14209,13862,164,421
2015,jakarta barat,tambora,duri utara,12004,11339,167,523
2015,jakarta barat,tambora,tanah sereal,15233,14390,201,868
2015,jakarta barat,tambora,kerendang,11719,11392,79,212
2015,jakarta barat,tambora,jembatan besi,17861,17105,185,311
2015,jakarta barat,tambora,angke,17665,17432,231,656
2015,jakarta barat,tambora,jembatan lima,12164,11859,160,629
2015,jakarta barat,tambora,pekojan,13458,12721,253,999
2015,jakarta barat,tambora,roa malaka,1904,1962,50,123
2015,jakarta barat,tambora,duri selatan,8348,8232,108,284
2015,jakarta barat,kebon jeruk,kebon jeruk,28037,27991,340,824
2015,jakarta barat,kebon jeruk,sukabumi utara,21730,20923,309,843
2015,jakarta barat,kebon jeruk,sukabumi selatan,20648,20262,177,370
2015,jakarta barat,kebon jeruk,kelapa dua,12939,12875,225,610
2015,jakarta barat,kebon jeruk,duri kepa,32091,33110,315,820
2015,jakarta barat,kebon jeruk,kedoya utara,24015,25255,252,710
2015,jakarta barat,kebon jeruk,kedoya selatan,16991,17710,199,538
2015,jakarta barat,kali deres,kalideres,38835,38524,331,1339
2015,jakarta barat,kali deres,semanan,38631,38463,275,911
2015,jakarta barat,kali deres,tegal alur,45631,45537,419,1568
2015,jakarta barat,kali deres,kamal,30668,30395,221,837
2015,jakarta barat,kali deres,pegadungan,39096,39075,227,463
2015,jakarta barat,palmerah,palmerah,34773,34768,399,1584
2015,jakarta barat,palmerah,slipi,9307,9353,85,239
2015,jakarta barat,palmerah,kota bambu utara,14689,14567,155,355
2015,jakarta barat,palmerah,jati pulo,16376,15777,345,1207
2015,jakarta barat,palmerah,kemanggisan,18442,18295,243,662
2015,jakarta barat,palmerah,kota bambu selatan,12410,12197,134,408
2015,jakarta barat,kembangan,kembangan utara,29328,29532,166,996
2015,jakarta barat,kembangan,meruya utara,21910,22887,260,982
2015,jakarta barat,kembangan,meruya selatan,17213,17938,188,302
