registrasi,nama_yayasan,alamat,rt,rw,kelurahan,kecamatan,kota_administrasi,no_telepon,pengurus,kegiatan,masa_berlaku
014.31.71.05.1001.26,PENDIDIKAN PUSPITA SARI,Jl. Cempaka Putih Tengah IV/8 B,1,5,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,021 4245927,"Hj. Sri Sudiyani, S.BA",Pendidikan dan Sosial ,30 Mei 2014 s/d 29 Mei 2019
014.31.71.03.1004.27,BINTANG TIMUR PEMBAWA TERANG,Jl. Taruna Jaya Gg. Anggrek I No. 7,19,2,Serdang,Kemayoran,Jakarta Pusat,021 4211740,AH. Susatio Jalu . K,Sosial,02 Juni 2014 s/d 01 Juni 2019
014.31.71.04.1004.28,RUMAH PIATU MUSLIMIN,Jl. Kramat Raya No. 11,4,2,Kramat,Senen,Jakarta Pusat,,Ny. Hj. Sophi Sarwono,Sosial Kemanusiaan dan Keagamaan,05 Juni 2014 s/d 04 Juni 2019
014.31.71.05.1001.29,PENDIDIKAN CEMPAKA RIA,Jl. Rawasari Timur I,5,2,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,021 4227795,Drs. H. Sudarmadi,"Keagamaan, Sosial dan Kemanusiaan  ",06 Juni 2014 s/d 05 Juni 2019
014.31.71.06.1005.30,KESEJAHTERAAN PEMUDA ISLAM INDONESIA (YAKPII),Jl. Menteng Raya No. 58,,,Kebon Sirih,Menteng,Jakarta Pusat,,Prof. DR. Farouk Muhammad,"Sosial, Pendidikan dan Keagamaan",13 Juni 2014 s/d 12 Juni 2019
014.31.71.05.1001.31,PENDIDIKAN ISLAM ANAKKU SAYANG,Jl. Cempaka Putih Timur XXV No. 26,2,2,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,,"Elly Kurnaini, BA",Sosial Kemanusiaan dan Keagamaan,13 Juni 2014 s/d 12 Juni 2019
014.31.71.02.1004.32,JASMANE LESTARI," Komp. Speed Plaza Blok  B No. 16, Jl. Gunung Sahari xi",,,Gunung Sahari Utara,Sawah Besar,Jakarta Pusat,021 5461099,Fredy L. Tanjung,Sosial Kemanusiaan dan Keagamaan,13 Juni 2014 s/d 12 Juni 2019
014.31.71.06.1005.33,PERKUMPULAN JAKARTA JEPANG (THE JAKARTA JAPAN CLUB),"Menara Cakrawala Lt. 4, Jl. MH. Thamrin No. 9",,,Kebon Sirih,Menteng,Jakarta Pusat,021 3150418,Nonami Masahiro,Sosial,30 Juni 2014 s/d 29 Juni 2019
014.31.71.07.1001.34,PELAYANAN PINTU INDONESIA,"Sentral Senayan 2 Lt. 6, Jl. Asia Afrika No. 8",,,Gelora,Tanah Abang,Jakarta Pusat,021 80782312,Ingrid Claudia Reville,Sosial dan Keagamaan,02 Juli 2014 s/d 01 Juli 2019
014.31.71.02.1002.35,SETIA BHAKTI,Jl. A. GG I No. 4-5,,,Karang Anyar,Sawah Besar,Jakarta Pusat,021 6018581,Sugita Chandra,"Sosial, Keagamaan dan Kemanusiaan",04 Juli 2014 s/d 03 Juli 2019
014.31.71.08.1006.36,PUTRA FATAHILLAH,Jl. Kramat Pulo Gundul  K. 14-15,2,9,Tanah Tinggi,Johar Baru,Jakarta Pusat,021 42888444,"Dr. Ir. Bejo Santoso, M.Si","Sosial, Keagamaan dan Kemanusiaan",18 Juli 2014 s/d 17 Juli 2019
014.31.71.07.1001.37,MITRA SEJAHTERA KARYAMEDIA,Jl. Palmerah Selatan No. 22-28,,,Gelora,Tanah Abang,Jakarta Pusat,021 5483008,Lestari Sumartjati Sukarta,Sosial,18 Juli 2014 s/d 17 Juli 2019
014.31.71.06.1004.38,INSAN MADINA,Jl. RP. Soeroso No. 40,2,2,Gondangdia,Menteng,Jakarta Pusat,,Zaki,Sosial dan Keagamaan,18 Juli 2014 s/d 17 Juli 2019
014.31.71.06.1005.39,JALINAN KASIH,"Gedung Highend Lt. 1, Jl. Kebon Sirih No. 17-19",,,Kebon Sirih,Menteng,Jakarta Pusat,021 3909103,Beti Puspitasari Santoso,Sosial Kemanusiaan dan Keagamaan,24 Juli 2014 s/d 23 Juli 2019
014.31.71.07.1002.40,OISCA PENDIDIKAN INTERNASIONAL INDONESIA,Jl. Danau Tondano No. 1,,,Bendungan Hilir,Tanah Abang,Jakarta Pusat,021 5712204,Dicky Arisalfa,Sosial Kemanusiaan dan Keagamaan,24 Juli 2014 s/d 23 Juli 2019
014.31.71.03.1002.41,CIPTA CITRA INDONESIA,Rusun Cinver 4B/102,5,1,Kebon Kosong,Kemayoran,Jakarta Pusat,021 06542680,Mieske Taurisia,Sosial,08 September 2014 s/d 07 September 2019
014.31.71.08.1001.42,SPIRITIA,Jl. Johar Baru Utara V No. 17,13,3,Johar Baru,Johar Baru,Jakarta Pusat,,Daniel marguari,Sosial dan Kemanusiaan,08 September 2014 s/d 07 September 2019
014.31.71.06.1002.43,KAMPUS DIAKONEIA MODERN,Jl. Tambak II No. 23,,,Pegangsaan,Menteng,Jakarta Pusat,021 334172 - 021 3918505,Sarvaniandei Satya Prawira Benyamin,Sosial Kemanusiaan dan Keagamaan,16 September 2014 s/d 15 September 2019
014.31.71.01.1004.44,ACSET INDONESIA,Jl. Majapahit No. 26,,,Petojo Utara,Gambir,Jakarta Pusat,021 3511961,Hot Assina Munthe,"Sosial, Keagamaan dan Kemanusiaan",22 September 2014 s/d 21 September 2019
014.31.71.01.1006.45,SEKAR LAUT PELNI,Gedung Pelni No. 14,11,2,Petojo Utara,Gambir,Jakarta Pusat,,"Sulistyowati, SE",Sosial,11 September 2014 s/d 10 September 2019
014.31.71.07.1002.46,FATMAWATI,Jl. Penjernihan No. 30,,,Bendungan Hilir,Tanah Abang,Jakarta Pusat,,Dr. H.RP. Leksmono Tjondronegoro,Sosial dan Kemanusiaan,22 September 2014 s/d 21 September 2019
014.31.71.07.1003.47,ALAM AKSARA,"Gd. Apartemen City Lofts Sudirman Lt. 20 Unit 21, Jl. KH. Mas Mansyur Kav. 126",,,Karet Tengsin,Tanah Abang,Jakarta Pusat,021 25558521,Dede Prabowo,"Pendidikan, Sosial dan Lingkungan",26 September 2014 s/d 25 September 2019
014.31.71.01.1005.48,KARISMA WIDJAJA,Jl. Hayam Wuruk No. 27 Lt. V,,,Kebon Kelapa ,Gambir,Jakarta Pusat,021 3456651,Tina Widjaja,"Sosial, Keagamaan dan Kemanusiaan",26 September 2014 s/d 25 September 2019
014.31.71.07.1003.49,PEDULI TUNAS BANGSA,"Wisma 46 Kota BNI Lt. 14. 01-04B, Jl. Jend. Sudirman Kav. 1",,,Karet Tengsin,Tanah Abang,Jakarta Pusat,,Ade Dwi Nursihani,Sosial Kemanusiaan dan Keagamaan,02 Oktober 2014 s/d 01 Oktober 2019
014.31.71.05.1002.50,AULIA MURSYIDAH,Jl. Cempaka Putih Barat No. 30 B,3,11,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,021 4248446,Siti Rofiah,Sosial Kemanusiaan dan Keagamaan,03 Oktober 2014 s/d 02 Oktober 2019
014.31.71.07.1003.51,KESEJAHTERAAN PENDIDIKAN DAN SOSIAL SAHID JAYA,"Hotel Sahid jaya International Lt. 4, Jl. Jend. Sudirman No. 86",,,Karet Tengsin,Tanah Abang,Jakarta Pusat,021 5702325 - 021 5702326,"Dr. H. Nugroho Budi Satrio, S.MBA, BET",Sosial dan Kemanusiaan,10 Oktober 2014 s/d 09 Oktober 2019
014.31.71.06.1002.52,IRENE LYDIA,Jl. Dempo No. 16,2,7,Pegangsaan,Menteng,Jakarta Pusat,,Irfin Sitompul Effendi,Sosial Kemanusiaan dan Keagamaan,27 Oktober 2014 s/d 26 Oktober 2019
014.31.71.06.1001.53,BELAJAR BERSAMA SJORS,"Menara BCA Lt. 50 Grand Indonesia Shopping Town, Jl. MH. Thamrin",,,Menteng,Menteng,Jakarta Pusat,021 23584604,Rama Yoga Hidayat,Sosial,27 Oktober 2014 s/d 26 Oktober 2019
014.31.71.06.1004.54,DOKTER KAHAR TJANDRA,Jl. Johar No. 1 A,,,Gondangdia,Menteng,Jakarta Pusat,,Sanjaya Raharja,Sosial,27 Oktober 2014 s/d 26 Oktober 2019
014.31.71.06.1001.55,INTELEKTUAL BANGSA BERSATU,Jl. MH. Thamrin No. 81,,,Menteng,Menteng,Jakarta Pusat,021 31996162,DR. Bayu Prawira . HIE,Sosial,05 Nopember 2014 s/d 04 Nopember 2019
014.31.71.08.1004.56,AL-FALAH TANAH TINGGI,Jl. Tanah Tinggi IV Gg. E No. 15 A,8,7,Tanah Tinggi,Johar Baru,Jakarta Pusat,021 33017817,Muhammad Aspar,"Sosial, Keagamaan dan Kemanusiaan",12 Nopember 2014 s/d 11 Nopember 2019
014.31.71.03.1005.57,BINA MANDIRI GLORIEUX,Jl. Gunung sahari Raya No. 91,14,8,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,021 4219055 - 021 4219068,A. Sigit Pratomo,"Sosial, Keagamaan dan Kemanusiaan",12 Nopember 2014 s/d 11 Nopember 2019
014.31.71.03.1005.58,PELAYANAN ANAK CALVARY,Jl. Garuda No. 31 M Lt. 3,,,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,021 4211045,Julius Fredrik Hendrik,Sosial dan Keagamaan,17 Nopember 2014 s/d 16 Nopember 2019
014.31.71.07.1004.59,AN NUR ABDAT,Jl. LS. Tubun Raya  No. 29,,,Petamburan,Tanah Abang,Jakarta Pusat,021 5325195,Taufik,Sosial Kemanusiaan dan Keagamaan,17 Nopember 2014 s/d 16 Nopember 2019
014.31.71.08.1001.60,PERKUMPULAN ORSOS PERSATUAN ISLAM (PERSIS) DKI JAKARTA,Jl. Johar Baru I No. 22,3,9,Johar Baru,Johar Baru,Jakarta Pusat,,H. Kahfi Amin,Sosial Keagamaan dan Pendidikan,24 Nopember 2014 s/d 23 Nopember 2019
014.31.71.04.1003.61,PENDIDIKAN KESEHATAN CAROLUS (YPKC),"Jl. Salemba Raya No. 41, Telp",,,Paseban,Senen,Jakarta Pusat,021 3154191,"Ir. Robby Hermanto Winardi, MBA",Pendidikan,05 Desember 2014 s/d 04 Desember 2019
014.31.71.02.1003.62,PENYELENGGARAAN ILHAI INDONESIA CABANG JAKARTA,Jl. Dwi Warna Raya No. 1-3,2,1,Kartini,Sawah Besar,Jakarta Pusat,021 6391990 - 021 6253662,SR. Tan Cendrayani,Sosial Kemanusiaan dan Keagamaan,05 Desember 2014 s/d 04 Desember 2019
014.31.71.03.1005.63,MUSEUM NASIONAL BANDARA KEMAYORAN,Jl. Kran V I No. 23,9,6,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,,Bill Huda Imanuari,"Sosial, Musum, Pendidikan, Seni dan Budaya",12 Desember 2014 s/d 11 Desember 2019
014.31.71.03.1005.64,PERSATUAN PERGURUAN TAMAN SISWA CABANG JAKARTA,Jl. Garuda No. 25,,,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,021 4243281,Nyi. Kus Pratiwi,Sosial Kemanusiaan dan Keagamaan,15 Desember 2014 s/d 14 Desember 2019
014.31.71.03.1005.65,TAMAN PENDIDIKAN KENCANA KEMAYORAN JAKARTA PUSAT,Jl. Waja III No. 1,2,2,Harapan Mulia,Kemayoran,Jakarta Pusat,021 4264851,Hj. Wienanci,Sosial dan Pendidikan,16 Desember 2014 s/d 15 Desember 2019
014.31.71.02.1001.66,AUSSI KUSUMA LESTARI,"Jl. Pos No. 2 , Pasar Baru, Sawah Besar",,,Pasar Baru,Sawah Besar,Jakarta Pusat,,Ny. Jacoba Jozal Bruinier,Sosial dan Pendidikan,16 Desember 2014 s/d 15 Desember 2019
014.31.71.03.1008.67,CIPTA INSANI BANGSA,Jl. F. Raya No. 7 Bendungan Jago,,,Ujang Panjang,Kemayoran,Jakarta Pusat,021 4202256,"Dr. Hj. Tutik Sri Suharti, SH,MH",Sosial dan Keagamaan,22 Desember 2014 s/d 21 Desember 2019
014.31.71.07.1001.68,MELINTAS INDONESIA,"STC Senayan Building Room 31-34b4 Floor, Jl. Asia Afrika Pintu IX Gelora Senayan",,,Gelora,Tanah Abang,Jakarta Pusat,0812 95399927,Maria Ery Asmoro,"Pendidikan, Sosial dan Kemanusiaan",29 Desember 2014 s/d 28 Desember 2019
014.31.71.01.1001.69,KARTIKA JAYA CABANG XIII MABESAD,Jl. Veteran No. 5,,,Gambir,Gambir,Jakarta Pusat,021 3847654,Ny. Sri Puji Lestari,Sosial Kemanusiaan dan Keagamaan,29 Desember 2014 s/d 28 Desember 2019
014.31.71.03.1007.70,FAJAR ISLAM MULIA,Jl. Mutiara No. 32,2,3,Rsumur Batu,Kemayoran,Jakarta Pusat,,"Ahmad Syauqie, SE","Sosial, Keagamaan dan Kemanusiaan",29 Desember 2014 s/d 28 Desember 2019
014.31.71.07.1005.73, LEMBAGA PENDIDIKAN SURYAKASIH,Jl. Teluk Betung No. 141,,,Kebon Melati,Tanah Abang,Jakarta Pusat,,Tulus Humintar,Sosial Kemanusiaan dan Keagamaan,31 Desember 2014 s/d 30 Desember 2019
014.31.72.02.1002.001, PENDIDIKAN WARNA ANAK KITA,Jl.Ganggeng III No. 16,4,1,Sungai Bambu,Tanjung Priok,Jakarta Utara ,021 43930294,Movita Ruliana ST,Sosial Kemanusiaan dan Keagamaan,08 Januari 2014 s/d 07 Januari 2019
014.31.72.01.1001.002,PEMBINAAN PENGEMBANGAN SARANA KEAGAMAAN BINA BANGSA,Jl. Pluit Dalam,10,8,Penjaringan,Penjaringan,Jakarta Utara,0857 19080991,HR. Kusmana,Sosial Kemanusiaan dan keagamaan,13 Januari 2014 s/d 12 Januari 2019
014.31.72.01.1003.003,SANTA NICHOLAS (SAINT NICHOLAS FOUNDATION ),Jl.Pantai Indah Utara Sektor Timur  Blok.S No.8,8,7,Kapuk Muara,Penjaringan,Jakarta Utara,,Agustina Susanto,Sosial dan Pendidikan,17 Januari 2014 s/d 16 Januari 2019
014.31.72.02.1004.004,AMALIAH ASTRA,Jl. Gaya Motor Raya No. 8 Sunter II,,,Sungai Bambu,Tanjung Priok,Jakarta Utara,021  6508525,Pongki Pamungkas,Pendidikan sosial dan Keagamaan,05 Februari 2014 s/d 04 Februari 2019
014.31.72.05.1002.005,YYS .KESEJAHTERAAN PENDIDIKANISLAMSINAR PERSTUAN,Jl. Hidup Baru No. 260,10,2,Pademangan Barat,Pademangan,Jakarta Utara,021 6450218,Sutrisna,"Sosial, Keagamaan",12 Februari 2014 s/d 11 Februari 2019
014.31.72.03.1006.006, WENING,Jl.Masjid Walang No.47,7,3,Rawabadak,Koja,Jakarta Utara,,Ir.H.Susanto Rahutomo,Sosial Keagamaan dan Kemanusiaan,14 Februari 2014 s/d 13 Februari 2019
014.31.72.02.1002.007,AL HIKMAH SUNTER JAYA,Jl. Agung Timur 8 Blok 02,9,1,Jaya,Tanjung Priok,Jakarta Utara,,Ir.I. Qolbu Lahoda,Sosial Pendidikan dan Keagamaan,17 Februari 2014 s/d 16 Februari 2019
014.31.72.01.1001.008,PENA ISLAM DAN SOSIAL DARUSSALAM,Jl. Luar Batang IX,2,2,Penjaringan,Penjaringan,Jakarta Utara,,"Sambas,ST.M.si",Sosial dan Keagamaan,17 Februari 2014 s/d 16 Februari 2019
014.31.72.06.1003.009,SEKOLAH INTERNASIONAL JAKARTA UTARA (NORTH JAKARTA INTERNATIONAL SCHOOL FOUNDATION),Jl. Boulevara Bukit Gading Raya,,,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,,Aking Saputra,Sosial Kemanusiaan dan Keagamaan,18 Februari 2014 s/d 17 Februari 2019
014.31.72.04.1001.010,ANAK DAN PEREMPUAN,Jl. Bhakti VI,5,9,Cilincing,Cilincing,Jakarta Utara,,Nur Aziza,Sosial,06 Maret 2014 s/d 05 Maret 2019
014.31.72.04.1004.011,BINA RACHMAN INSANI,Jl. Kalibaru Barat IV No. 119,11,7,Kalibaru,Cilincing,Jakarta Utara,,"Abdullah Habibi, Amd",Sosial Kemanusiaan dan Keagamaan,06 Maret 2014 s/d 05 Maret 2019
014.31.72.04.1004.012,KUKUH BAHTIAR,Jl. Kalibaru Barat,9,6,Kalibaru,Cilincing,Jakarta Utara,,Sulaeman,Sosial Kemanusiaan dan Keagamaan,06 Maret 2014 s/d 05 Maret 2019
014.31.72.03.1002.013,UNWANUS SA'ADAH,Jl. Plumpang Semper No. 3,1,12,Tugu Utara,Koja,Jakarta Utara,,HM. Ali Murtado,Sosial dan Kemanusiaan ,24 Maret 2014 s/d 23 Maret 2019
014.31.72.03.1003.014,MERPATI JAKARTA,Jl. Mahoni Blok B Gg. IV/27,4,4,Lagoa,Koja,Jakarta Utara,,Hadi Sumarlin,Sosial Kemanusiaan dan Keagamaan,15 April 2014 s/d 14 April 2019
014.31.72.02.1003.015,PENDIDIKAN ISTIQOMAH TANJUNG PRIOK,Jl. Papanggo III A No. 39,11,5,Papanggo,Tanjung Priok,Jakarta Utara,021 6517426,Kokom Komarudin,Sosial Kemanusiaan dan Keagamaan,12 Mei 2014 s/d 11 Mei 2019
014.31.72.02.1006.016,MALAIKAT KECIL (LITTLE ANGELS FOUNDATION),Jl. Agung Tengah 6 Blok I-U No. 2,11,16,Sunter Agung,Tanjung Priok,Jakarta Utara,021  6516484,Sunil Gobina Samtani,Sosial,23 Mei 2014 s/d 22 Mei 2019
014.31.72.03.1003.017,NURHASANAH KOJA,Jl. B . Lagoa Terusan Gg. II C 2 No. 6,10,1,Lagoa,Koja,Jakarta Utara,021 43901587,Hj. Niswati,Sosial Kemanusiaan dan Keagamaan,13 Juni 2014 s/d 12 Juni 2019
014.31.72.05.1001.018,PENDIDIKAN KRISTEN HARAPAN MULIA PADEMANGAN,Jl. Pademangan V Ujung Komplek Duta Kemayoran Blok D,,,Pademangan Timur,Pademangan,Jakarta Utara,021 6412761,Wong Tommy Hartadi,Sosial Kemanusiaan dan Keagamaan,19 Juni 2014 s/d 18 Juni 2019
014.31.72.05.1002.019,QISTHIZAM,Jl. Budi Mulia 138,11,12,Pademangan Barat,Pademangan,Jakarta Utara,0812 1959567,Drs. Adin Samanudin. M.Si,Sosial Kemanusiaan dan Keagamaan,20 Juni 2014 s/d 19 Juni 2019
014.31.72.02.1002.020,PENDIDIKAN MULIA BAKTI,Jl. Danau Indah Raya Blok C 2,,1,Sunter Jaya,Tanjung Priok,Jakarta Utara,021 65307273,Ir. CH. Kestyanto Pranata,Sosial,26 Juni 2014 s/d 25 Juni 2019
014.31.72.01.1005.021,METTASCHOLA INTERNATIONAL,Jl. Taman Pluit Kencana Blok P Kav. No. 28 F,4,6,Pluit,Penjaringan,Jakarta Utara,021 6623345,Abigail Loretta,Sosial,27 Juni 2014 s/d 26 Juni 2019
014.31.72.02.1003.022,AR-RAHMAN PULAU TIDUNG,Jl. Mundari No. 1,2,2,Pulau Tidung,Kep. Seribu Selatan,Kep. Seribu,,"Syaiful Anam, S.Ag, M.Pd.i","Sosial Kemanusiaan, Keagamaan dan Pendidikan",27 Juni 2014 s/d 26 Juni 2019
014.31.72.06.1002.023,AMAL DAN KURBAN JAKARTA (YAMKURTA),Jl. Puspa Gading I Blok H 2 No. 8,11,16,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,021 45855768,Iskandar Widjaya,Sosial Kemanusiaan dan Keagamaan,04 Juli 2014 s/d 03 Juli 2019
014.31.72.03.1005.024,AKSI MATA PENA,Kp. Mangga Jl. H. Nawar,8,2,Tugu Selatan,Koja,Jakarta Utara,0857 14889465,Royani,Sosial Keagamaan dan Kemanusiaan,04 Juli 2014 s/d 03 Juli 2019
014.31.72.03.1004.025,MEKAR SARI RAWA BADAK,Jl. Dahlia II,8,13,Rawa Badak Utara,Koja,Jakarta Utara,021 43932738,Hj. Koesmiyati,Sosial dan Keagamaan,24 Juli 2014 s/d 23 Juli 2019
014.31.72.04.1004.026,MU'TAMARUL ISLAMIYAH,Jl. Kalibaru III,7,3,Kalibaru,Cilincing,Jakarta Utara,021 44836841,"Drs. H. Muarifin, MM",Sosial Keagamaan dan Kemanusiaan,25 Juli 2014 s/d 24 Juli 2019
014.31.72.06.1003.027,LILIN BANGSA,Jl. Raya Mediteraqnia Blok BB No. 1,,,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,021 45854789 - 021  45854785,Iwan Purbowo,Sosial Keagamaan dan Kemanusiaan,06 Agustus 2014 s/d 05 Agustus 2019
014.31.72.02.1002.028,BENTENG SURYA NUSANTARA,Jl. Bentengan I No.20,1,5,Sunter Jaya,Tanjung Priok,Jakarta Utara,0857 75120793,Rasam Anjasmara,"Sosial, Kesehatan, Pelatihan Kerja Ekonomi, Kebudayaan dan Keagamaan",06 Agustus 2014 s/d 05 Agustus 2019
014.31.72.03.1002.029,AL MASYURIYYAH JAKARTA,Jl. Maja Blok N No. 35,2,11,Lagoa,Koja,Jakarta Utara,0812 10311157,"Achmad Jamalludin, MBA",Sosial Kemanusiaan dan Keagamaan,06 Agustus 2014 s/d 05 Agustus 2019
014.31.72.01.1004.030,KOMUNITAS INDONESIA SEJATI,Jl. Taman Pluit Kencana Blok P/28 F,,,Pluit,Penjaringan,Jakarta Utara,021 6623345,Ir. Michael Tedjami ,Sosial,14 Agustus 2014 s/d 13 Agustus 2019
014.31.72.06.1001.031,KELOMPOK BAKTI KASIH KEMANUSIAAN (YKBKK),Jl. Janur Hijau Raya TK 2,1,1,Kelapa Gading Timur,Kelapa Gading,Jakarta Utara,021 4516301,Dr. Irene Setiadi,Sosial Kemanusiaan dan Keagamaan,25 Agustus 2014 s/d 24 Agustus 2019
014.31.72.06.1001.032,GUGAH NURANI INDONESIA,Jl. Bukit Gading Raya Rukan Gading Indah Blok V 18-19 Kelapa Gading Permai,,,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,021 29574250,Bagus Yaugo Wicaksono,Sosial Kemanusiaan dan Keagamaan,25 Agustus 2014 s/d 24 Agustus 2019
014.31.72.06.1002.033,KASIH KARUNIA MELIMPAH,Jl. Raya Kelapa Hy Brida RA-3 Kav. No. 2,6,15,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,021 30019944 - 021 30019940,Sulijanto Leories,Sosial dan Keagamaan,26 Agustus 2014 s/d 25 Agustus 2019
014.31.72.06.1003.033,PENGEMBANGAN KREATIVITAS,Jl. Kelapa Nias Raya Blok AB 2 No. 1,,,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,,R. Bangkit Wihar Djanto,Sosial,28 Agustus 2014 s/d 27 Agustus 2019
014.31.72.02.1003.034,MITRA PINASTHIKA MUSTIKA,Jl. Agung Karya IV Blok B No. 19,,,Papanggo,Tanjung Priok,Jakarta Utara,021 29710170,Noviari Mursita,Sosial dan Kemanusiaan ,28 Agustus 2014 s/d 27 Agustus 2019
014.31.72.04.1001.035,HUBBUD DHUAFA AL ANSHORI CILINCING ,Jl. Raya Cilincing No. 44,2,3,Cilincing,Cilincing,Jakarta Utara,021 4412101 - 0813 89798228,Iwan,Sosial Keagamaan dan Kemanusiaan,09 September 2014 s/d 08 September 2019
014.31.72.02.1002.036,ROYAL BUCKINGHAM,Jl. Danau Indah Raya Nlok A-1 No. 16,,,Jaya,Tanjung Priok,Jakarta Utara,,Febty,Sosial dan Kemanusiaan ,10 September 2014 s/d 09 September 2019
014.31.72.01.1001.037,TALI KASIH MANDIRI,Jl. Tanah Pasir Raya Ruko 33/ Blok B 5 dan 6,15,7,Penjaringan,Penjaringan,Jakarta Utara,,Novita Ayusastra Atmaja,Sosial Keagamaan dan Kemanusiaan,11 September 2014 s/d 10 September 2019
014.31.72.04.1004.038,FORUM KOMUNIKASI MASYARAKAT PESISIR DAN NELAYAN,Jl. Kalibaru Barat No. 26,5,15,Kalibaru,Cilincing,Jakarta Utara,021 66696632,Yayat,Sosial Pendidikan dan Kemanusiaan,11 September 2014 s/d 10 September 2019
014.31.72.03.1002.039,HARAPAN UMAT JAKARTA,Jl. Walang Baru V Blok CH-2,11,7,Tugu Utara,Koja,Jakarta Utara,021 43936730,"Mochamad Guntur, M.Si",Sosial Kemanusiaan dan Keagamaan,22 September 2014 s/d 21 September 2019
014.31.72.03.1001.040,SYIAR ISLAM CIPEUCANG,Jl. Cipeucang III No. 35,7,13,Koja,Koja,Jakarta Utara,0812 12646677,Ir. Burhanuddin,Sosial Kemanusiaan dan Keagamaan,26 September 2014 s/d 25 September 2019
014.31.72.04.1007.041,KEBON BARU,Jl. Kebon Baru Blok X Gang IV No. 25,8,12,Semper Barat,Cilincing,Jakarta Utara,021 4407177 - 021 44836660,"Heru Hermawan, SE",Sosial Kemanusiaan dan Keagamaan,09 Oktober 2014 s/d 08 Oktober 2019
014.31.72.06.1003.042,RUMAH PENJUNAN,Ruko Kirana Boutique Blok C 1 No. 1 Jl. Boulevard Timur,,,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,021 29375578,Lindung Marbun,Sosial dan Keagamaan,16 Oktober 2014 s/d 15 Oktober 2019
014.31.72.03.1006.043,AL MUHAJIRIN BAHARI,"Komplek PT (Persero) Pelabuhan Indonesia II Walang jaya, Jl. Tuna No. 20-21",1,7,Rorotan,Cilincing,Jakarta Utara,021 4303432,"H. Ike Fathurrahman, Bsc",Sosial dan Keagamaan,16 Oktober 2014 s/d 15 Oktober 2019
014.31.72.04.1006.044,AL-UMMIYAH,Jl. Malaka III HB No. 23,4,6,Rorotan,Cilincing,Jakarta Utara,0878 75526374,Siti Umayah,Sosial Keagamaan dan Kemanusiaan,27 Oktober 2014 s/d 26 Oktober 2019
014.31.72.05.1002.045,FAJAR NUSANTARA,Jl. Waspada Raya I/30,7,10,Pademangan Barat,Pademangan,Jakarta Utara,021 64714183 - 021 6400768,Anthony Susanto,Sosial dan Pendidikan,27 Oktober 2014 s/d 26 Oktober 2019
014.31.72.02.1002.043 ,GERAKAN 12,Mitra Sunter Boulevard B.45,,,Sunter Jaya,Tanjung Priok,Jakarta Utara,0812 82612612,Steady Winarto,Sosial,27 Oktober 2014 s/d 26 Oktober 2019
014.31.72.03.1004.046,ISLAMIC AL-FARISY,Jl. Bogenvile No. 32,7,6,Rawa Badak Utara,Koja,Jakarta Utara,021 43931809,H. Rohli Pateni,"Pendidikan, Kesehatan, Keagamaan dan Kemanusiaan",24 Nopember 2014 s/d 23 Nopember 2019
014.31.72.01.1003.047,IMAN JELITA,Pulau Untung Jawa,1,3,Pulau Untung Jawa,Kep. Seribu Selatan,Seribu,0815 10012784,Muhammad Atip,Sosial Kemanusiaan dan Keagamaan,26 Nopember 2014 s/d 25 Nopember 2019
014.31.72.04.1004.049,NUR HIDAYAH KALIBARU,Jl. Kalibaru Barat IV,2,12,Kalibaru,Cilincing,Jakarta Utara,021 4406531,Yudi Suprianto,Sosial Kemanusiaan dan Keagamaan,27 Nopember 2014 s/d 26 Nopember 2019
014.31.72.02.1005.050,AMANAH UMMAH KEBON BAWANG,Jl. Simpang IV No. 58,13,12,Kebon Bawang,Tanjung Priok,Jakarta Utara,021 71504098 - 021 33551624,Hj. Darmawati Achmad,Sosial Kemanusiaan dan Keagamaan,01 Desember 2014 s/d 30 Nopember 2019
014.31.72.04.1001.051,ARMADA WIYATA,Jl. Cilincing Pagi No. 09,2,5,Cilincing,Cilincing,Jakarta Utara,021 44854880,"Julis, SE",Sosial Kemanusiaan dan Keagamaan,04 Desember 2014 s/d 03 Desember 2019
014.31.72.06.1002.052,CAHAYA PENDIDIKAN (BEACOH EDUCATION),Jl. Raya Pegangsaan Dua No. 66,,,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,,Kishin Doulatram Dadlani,Sosial dan Pendidikan,12 Desember 2014 s/d 11 Desember 2019
