Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,11740,19234,19670,190,77,23,19,4,6,58,5,13,1,26759,19,6,24,1324,3,6,,4,,1,1,2,,1,12,2,2,3,,10,11,2,,,,,35,7,13,,1,,,,,,,,,,,,,,1,11,270,,11,2,2,3,5,92,8,9,5,,,,15,,218,1,,908,,,11,7795,1306
2013,JAKARTA UTARA,PENJARINGAN,PLUIT,5527,10825,11763,652,36,6,6,9,5,1984,14,28,11,10209,51,2,10,144,1,16,,5,,,,,,,9,,1,,,3,11,1,,2,1,1,35,2,10,,,,1,,,,,,,,1,,,,,34,175,10,11,3,10,15,14,177,4,3,3,,,,12,2,21,,1,1094,,,3,5015,867
2013,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,8029,8501,9219,224,186,175,81,1,4,7,11,5,8,11007,56,2,10,1467,2,2,,4,,,,,,,5,,,,,3,7,,,,,,34,,13,,,,1,,,,,,,,,,,,,11,288,,10,1,,,,8,9,39,1,,,,453,,178,,,741,,,,2453,312
2013,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,9892,13907,15971,851,661,78,60,11,3,1,25,42,13,17318,101,8,33,1559,1,1,,7,,,,,,,8,,,,,4,15,1,,,,,36,17,26,3,,,1,,,,1,,1,,,,,1,,46,556,1,25,3,5,1,6,120,25,38,7,,,,16,,234,,2,432,,1,1,5808,1180
2013,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,7343,9500,10739,214,144,47,17,2,3,5,20,6,,11611,30,,14,1667,,,,4,1,,,,1,1,3,,,1,,9,8,,,,,,22,,13,5,1,,,,,,,,,,,,,,,12,275,,3,,,,2,24,12,36,2,1,,,286,,155,,,415,,,4,2367,715
2013,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,6354,7068,8010,276,251,76,79,,3,,1,4,2,8456,78,5,18,1419,,,,,1,,,,,,7,,,,,4,19,,,,,,44,,29,3,1,,,,,,,,,,,,,,,17,287,,9,,,,2,52,19,34,1,,,,430,,176,,,344,,,,2113,230
2013,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,10727,12138,13806,536,583,737,69,,7,2,13,5,2,14218,205,3,34,1697,4,,,7,,,,,,,7,,,,,,18,,,,,1,44,,25,8,,,,,,,,,,,,,,,,22,504,,9,1,3,,4,69,36,74,7,,,,1626,,185,,,691,,,,3774,296
2013,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,11416,16021,18945,1124,641,107,168,,9,3,20,28,2,21811,67,4,28,1766,3,,,18,,,,,,1,11,,,,2,8,107,,,,,,34,11,29,1,,,1,,,,,,,,,,,,,43,628,1,21,5,11,2,3,180,26,51,,3,,,56,2,176,,,803,,,7,5827,975
2013,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,8850,10991,11975,445,301,94,56,2,4,3,22,14,4,12824,119,5,29,2261,1,1,,3,,,,,,1,4,,,,,3,14,,,,,,21,,16,,,,,,,,,,,,,,,1,,12,430,2,8,,,,1,29,14,58,,,,,961,1,171,,,357,,,3,2923,797
2013,JAKARTA UTARA,KOJA,KOJA,6589,7461,7392,116,127,47,30,,4,4,9,7,,7098,35,4,9,1535,,,,5,,,,,,1,7,,,,1,8,6,,,,,,4,,7,2,,,,,,,,,,,,,,,,13,196,1,1,,1,,2,20,10,32,3,,,,676,,180,,,966,,,2,2527,301
