Nama,Kabupaten,Kecamatan,Kelurahan,Luas,Jenis
Taman Hutan Kota Kampung Sawah, Jakarta Barat , Palmerah , Kemanggisan ,31945, Taman Kota 
Taman Medan Merdeka (Monas), Jakarta Pusat , Gambir , Gambir ,631448, Taman Kota 
Taman Menteng, Jakarta Pusat , Menteng , Menteng ,24546, Taman Kota 
Taman Suropati, Jakarta Pusat , Menteng , Menteng ,16328, Taman Kota 
Taman Situlembang, Jakarta Pusat , Menteng , Menteng ,14700, Taman Kota 
Taman Lapangan Banteng, Jakarta Pusat , Sawah Besar , Pasar Baru ,52790, Taman Kota 
Taman Ayodia, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,7497, Taman Kota 
Taman Hutan Kota Kebon Pisang Penjaringan, Jakarta Utara , Penjaringan , Pejagalan ,53506, Taman Kota 
Taman interaktif Jl. Lingkungan III RT 010 RW 003, Jakarta Barat , Kali Deres , Kamal ,797, Taman Interaktif 
Taman Interaktif RT 001 RW 006, Jakarta Barat , Kali Deres , Kamal ,1300, Taman Interaktif 
Taman interaktif Jl. Kamp.Belakang RT 001 RW 006, Jakarta Barat , Kali Deres , Kamal ,994, Taman Interaktif 
Taman interaktif Jl. Kampung Rende RT 001 RW 008, Jakarta Barat , Kali Deres , Kamal ,800, Taman Interaktif 
Taman interaktif Jl. Kamal RT 009 RW 003, Jakarta Barat , Kali Deres , Kamal ,1126, Taman Interaktif 
Taman interaktif Jl. Kramat Raya RT 001 RW 009, Jakarta Barat , Kali Deres , Semanan ,200, Taman Interaktif 
Taman interaktif Jl. Bakti Mulya RT 008 RW 002, Jakarta Barat , Kali Deres , Tegal Alur ,1200, Taman Interaktif 
Taman Interaktif Sangkrini, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,858, Taman Interaktif 
Taman Interaktif, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,858, Taman Interaktif 
Taman Interaktif Joglo Blok F, Jakarta Barat , Kembangan , Joglo ,700, Taman Interaktif 
Taman Interaktif Jl.MT.Haryono No 21 RT 006 RW 004, Jakarta Barat , Palmerah , Kota Bambu Selatan ,262, Taman Interaktif 
Taman interaktif Jl. D RT 005 RW 005, Jakarta Barat , Palmerah , Kota Bambu Utara ,648, Taman Interaktif 
Taman interaktif Gg. Bahagia No.30 RT 011 RW 009, Jakarta Barat , Palmerah , Palmerah ,610, Taman Interaktif 
Taman Interaktif Swakarya Ujung RT 009 RW 017, Jakarta Barat , Palmerah , Palmerah ,300, Taman Interaktif 
Taman interaktif Jl. Kesederhanaan No.20A, Jakarta Barat , Taman Sari , Keagungan ,200, Taman Interaktif 
Taman interaktif Jl. Keadilan Dalam II RT 004 RW 002, Jakarta Barat , Taman Sari , Taman Sari ,300, Taman Interaktif 
Taman Kalista Utara, Jakarta Pusat , Johar Baru , Galur ,200, Taman Interaktif 
Taman interaktif Jl. Perc.Negara II Gg UU, Jakarta Pusat , Johar Baru , Johar Baru ,215, Taman Interaktif 
Taman Rawa Tengah RW 007, Jakarta Pusat , Johar Baru , Kampung Rawa ,300, Taman Interaktif 
"Taman interaktif Jl. Rawa Selatan II RW 004,", Jakarta Pusat , Johar Baru , Kampung Rawa ,461, Taman Interaktif 
Taman Rawa Tengah I, Jakarta Pusat , Johar Baru , Kampung Rawa ,531, Taman Interaktif 
"Taman Interaktif Jl.Rawa Selatan II RW 004,", Jakarta Pusat , Johar Baru , Kampung Rawa ,461, Taman Interaktif 
"Taman interaktif Jl. Rawa Selatan II RW 005,", Jakarta Pusat , Johar Baru , Kampung Rawa ,276, Taman Interaktif 
"Taman interaktif Jl. Rawa Sawah I RW 003,", Jakarta Pusat , Johar Baru , Kampung Rawa ,310, Taman Interaktif 
Taman Interaktif Jl.Hati Suci, Jakarta Pusat , Kali Deres , Kampung Bali ,212, Taman Interaktif 
Taman interaktif Jl. Cempaka Baru Barat Gg.Rela RT 009 RW 007, Jakarta Pusat , Kemayoran , -   ,720, Taman Interaktif 
Taman interaktif Jl. Cempaka Sari V RT 012 RW 008, Jakarta Pusat , Kemayoran , -   ,212, Taman Interaktif 
Taman interaktif Gg. Mantri IV, Jakarta Pusat , Kemayoran , Kemayoran ,346, Taman Interaktif 
Taman interaktif Jl. Taruna XXIII RW 005, Jakarta Pusat , Kemayoran , Serdang ,400, Taman Interaktif 
Taman Interaktif Jl.Krida III Rt 009/01, Jakarta Pusat , Kemayoran , Serdang ,531, Taman Interaktif 
Taman interaktif Jl. Kalibaru Timur Gg. 7 No. 24 B, Jakarta Pusat , Senen , Bungur ,298, Taman Interaktif 
"Taman interaktif Jl. Kramat Lontar III RW 001,", Jakarta Pusat , Senen , Paseban ,210, Taman Interaktif 
Taman interaktif Jl. Kampung Bali IX RW 009, Jakarta Pusat , Tanah Abang , Kampung Bali ,240, Taman Interaktif 
Taman Interaktif Sgt.Kampung Bali, Jakarta Pusat , Tanah Abang , Kampung Bali ,377, Taman Interaktif 
Taman Interaktif Jl. Poncol II, Jakarta Selatan , Cilandak , Gandaria Selatan ,891, Taman Interaktif 
Taman Interaktif Karang Tengah, Jakarta Selatan , Cilandak , Lebak Bulus ,28231, Taman Interaktif 
Taman Interaktif RT 006 RW 002, Jakarta Selatan , Cilandak , Pondok Labu ,631, Taman Interaktif 
Taman Interaktif Moh.Kahfi I, Jakarta Selatan , Jagakarsa , Ciganjur ,9629, Taman Interaktif 
Taman Interaktif Jl. Moh.Kahfi I RT 010 RW 002, Jakarta Selatan , Jagakarsa , Ciganjur ,6305, Taman Interaktif 
Taman Interaktif Jl. Jagakarsa Raya (Jl.Moh.Kahfi RT 001/RW 002), Jakarta Selatan , Jagakarsa , Jagakarsa ,924, Taman Interaktif 
Taman Interaktif Jl.Pluis, Jakarta Selatan , Kebayoran Baru , Grogol Utara ,185, Taman Interaktif 
Taman interaktif Jl. Peninggaran I, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,530, Taman Interaktif 
Taman Interaktif Jl.Peninggaran, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,253, Taman Interaktif 
Taman Interaktif Jl.Delman Elok VI Ujung Rt 004/011, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,3101, Taman Interaktif 
Taman Interaktif Jl.Delman Elok VI Ujung RT 004 RW 006, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,1099, Taman Interaktif 
Taman Interaktif Gg.Jati RT 009 RW 001, Jakarta Selatan , Mampang Prapatan , Mampang Prapatan ,854, Taman Interaktif 
Taman Interaktif Jl. Kebagusan Dalam I, Jakarta Selatan , Pasar Minggu , Kebagusan ,16212, Taman Interaktif 
Taman Interaktif Jl.Pejaten Timur, Jakarta Selatan , Pasar Minggu , Pejaten Timur ,600, Taman Interaktif 
Taman Interaktif RT 006 RW 009, Jakarta Selatan , Pesanggrahan , Bintaro ,485, Taman Interaktif 
Taman Interaktif Jl. H. Lahab RT 008 RW 003, Jakarta Selatan , Pesanggrahan , Petukangan Selatan ,350, Taman Interaktif 
Taman Interaktif Pocong Manggis ( Wadas tengah ), Jakarta Selatan , Setia Budi , Kebon Manggis ,329, Taman Interaktif 
Taman interaktif, Jakarta Selatan , Setia Budi , Menteng Atas ,563, Taman Interaktif 
Taman Interaktif Tebet, Jakarta Selatan , Tebet , Manggarai Selatan ,341, Taman Interaktif 
Taman Interaktif Rt. 006 Rw. 004, Jakarta Timur , Cakung , Cakung Barat ,1633, Taman Interaktif 
Taman interaktif, Jakarta Timur , Cakung , Cakung Barat ,782, Taman Interaktif 
Taman interaktif RT 005 RW 014, Jakarta Timur , Cakung , Penggilingan ,836, Taman Interaktif 
Taman Interaktif Jl. Cilangkap RW 004, Jakarta Timur , Cipayung , Cilangkap ,30066, Taman Interaktif 
Taman interaktif Jl. Pengembangan RT 014 RW 001, Jakarta Timur , Cipayung , Cipayung ,435, Taman Interaktif 
Taman Interaktif Jl.Ciracas Raya RT 003 RW 006, Jakarta Timur , Ciracas , Ciracas ,1281, Taman Interaktif 
Taman interaktif Jl. Ciracas Raya RT 003 RW 006, Jakarta Timur , Ciracas , Ciracas ,1281, Taman Interaktif 
Taman Interaktif Jl.Bulak Tengah X RT 004 RW 015, Jakarta Timur , Duren Sawit , Klender ,1035, Taman Interaktif 
"Taman interaktif Gg. Toge RT 004 & 001 RW 005,", Jakarta Timur , Duren Sawit , Klender ,160, Taman Interaktif 
Taman interaktif Jl. Bulak Tengah X RT 004 RW 015, Jakarta Timur , Duren Sawit , Klender ,1035, Taman Interaktif 
Taman interaktif Segitiga Intirub Jl. Cililtan Besar, Jakarta Timur , Duren Sawit , Pondok Bambu ,888, Taman Interaktif 
Taman interaktif RT 004 RW 011, Jakarta Timur , Jatinegara , Cipinang Besar Utara ,600, Taman Interaktif 
Taman interaktif Jl. Pengembang RT 004 RW 011, Jakarta Timur , Jatinegara , Cipinang Besar Utara ,400, Taman Interaktif 
Taman interaktif RT 009 RW 008, Jakarta Timur , Jatinegara , Cipinang Muara ,803, Taman Interaktif 
Taman Interaktif Jl. Manunggal II RW 001, Jakarta Timur , Kramat Jati , Cililitan ,14516, Taman Interaktif 
"Taman interaktif RT 007 RW 005,", Jakarta Timur , Kramat Jati , Dukuh ,293, Taman Interaktif 
Taman interaktif RT 006 RW 007, Jakarta Timur , Kramat Jati , Kampung Tengah ,400, Taman Interaktif 
Taman Interaktif Jl.Kebon Kelapa RT 002 RW 009, Jakarta Timur , Matraman , Utan Kayu Selatan ,921, Taman Interaktif 
Taman interaktif Jl. Kebon Kelapa RT 002 RW 009, Jakarta Timur , Matraman , Utan Kayu Selatan ,921, Taman Interaktif 
Taman interaktif RT 003 RW 009, Jakarta Timur , Pasar Rebo , -   ,442, Taman Interaktif 
Taman interaktif, Jakarta Timur , Pulo Gadung , -   ,400, Taman Interaktif 
Taman interaktif RT 001 RW 005, Jakarta Timur , Pulo Gadung , Jatinegara Kaum ,900, Taman Interaktif 
Taman interaktif RT 012 RW 004, Jakarta Timur , Pulo Gadung , Pisangan Timur ,606, Taman Interaktif 
Taman interaktif Jl. Kali Baru Barat RT 009 RW 003, Jakarta Utara , Cilincing , -   ,232, Taman Interaktif 
Taman interaktif, Jakarta Utara , Cilincing , Cilincing ,140, Taman Interaktif 
Taman Interaktif Gg.CC, Jakarta Utara , Cilincing , Cilincing ,140, Taman Interaktif 
Taman interaktif Gg. Janur Cilincing Lama, Jakarta Utara , Cilincing , Cilincing ,300, Taman Interaktif 
Taman interaktif Jl. Rorotan Gg.2 RT 006 RW 005, Jakarta Utara , Cilincing , Rorotan ,457, Taman Interaktif 
Taman Interaktif Kampung Karang Kendal, Jakarta Utara , Cilincing , Rorotan ,6445, Taman Interaktif 
Taman Interaktif RW 03, Jakarta Utara , Cilincing , Semper Barat ,2717, Taman Interaktif 
Taman interaktif Kamp.Belitung, Jakarta Utara , Cilincing , Semper Barat ,300, Taman Interaktif 
Taman Interaktif RW 08, Jakarta Utara , Kelapa Gading , Kelapa Gading Timur ,899, Taman Interaktif 
Taman interaktif RW 013, Jakarta Utara , Kelapa Gading , Kelapa Gading Timur ,370, Taman Interaktif 
Taman interaktif Jl. H.Oyar RT 002 RW 002, Jakarta Utara , Kelapa Gading , Pegangsaan Dua ,1367, Taman Interaktif 
Taman interaktif Gg. CC, Jakarta Utara , Koja , -   ,400, Taman Interaktif 
Taman interaktif Jl. Mawar II RT 005 RW 006, Jakarta Utara , Koja , Tugu Utara ,300, Taman Interaktif 
Taman interaktif Bahari Gg III RT 008 RW 004, Jakarta Utara , Tanjung Priok , -   ,190, Taman Interaktif 
"Taman interaktif RT 013 RW 003,", Jakarta Utara , Tanjung Priok , -   ,306, Taman Interaktif 
"Taman interaktif Pelita I, RT 001 RW 005", Jakarta Utara , Tanjung Priok , -   ,306, Taman Interaktif 
Taman interaktif Jl.Papanggo II, Jakarta Utara , Tanjung Priok , -   ,236, Taman Interaktif 
Taman interaktif, Jakarta Utara , Tanjung Priok , -   ,250, Taman Interaktif 
Taman Mesjid IV, Jakarta Barat , Cengkareng , Cengkareng Barat ,1528, Taman Lingkungan 
Taman Melati (Kalideres), Jakarta Barat , Cengkareng , Cengkareng Barat ,610, Taman Lingkungan 
Taman Utama Raya, Jakarta Barat , Cengkareng , Cengkareng Barat ,11151, Taman Lingkungan 
Taman Komplek Kebersihan, Jakarta Barat , Cengkareng , Cengkareng Barat ,2458, Taman Lingkungan 
Taman Seruni, Jakarta Barat , Cengkareng , Cengkareng Barat ,2136, Taman Lingkungan 
Taman Beringin, Jakarta Barat , Cengkareng , Cengkareng Barat ,1220, Taman Lingkungan 
Taman A.A., Jakarta Barat , Cengkareng , Cengkareng Barat ,746, Taman Lingkungan 
Taman Puspa RW. 012, Jakarta Barat , Cengkareng , Cengkareng Timur ,1261, Taman Lingkungan 
Taman Nusa Indah III, Jakarta Barat , Cengkareng , Cengkareng Timur ,1224, Taman Lingkungan 
Taman Nusa Indah I, Jakarta Barat , Cengkareng , Cengkareng Timur ,1551, Taman Lingkungan 
Taman Anggrek, Jakarta Barat , Cengkareng , Cengkareng Timur ,2825, Taman Lingkungan 
Taman Pedongkelan, Jakarta Barat , Cengkareng , Cengkareng Timur ,1500, Taman Lingkungan 
Taman Nusa Indah II, Jakarta Barat , Cengkareng , Cengkareng Timur ,381, Taman Lingkungan 
Taman Duri Kosambi, Jakarta Barat , Cengkareng , Duri Kosambi ,2620, Taman Lingkungan 
Taman Melati I (Kapuk), Jakarta Barat , Cengkareng , Kapuk ,1430, Taman Lingkungan 
Taman Dahlia Refungsi Dinas, Jakarta Barat , Cengkareng , Kapuk ,301, Taman Lingkungan 
Taman Puspa V, Jakarta Barat , Cengkareng , Kapuk ,415, Taman Lingkungan 
Taman Melati II (Kapuk), Jakarta Barat , Cengkareng , Kapuk ,1540, Taman Lingkungan 
Taman Dahlia, Jakarta Barat , Cengkareng , Kapuk ,1846, Taman Lingkungan 
Taman Akasia, Jakarta Barat , Cengkareng , Kapuk ,747, Taman Lingkungan 
Taman Puspa I, Jakarta Barat , Cengkareng , Kapuk ,216, Taman Lingkungan 
Taman Durian, Jakarta Barat , Cengkareng , Rawa Buaya ,2692, Taman Lingkungan 
Taman Pakis Raya RW.07, Jakarta Barat , Cengkareng , Rawa Buaya ,1793, Taman Lingkungan 
Taman Bawang Merah, Jakarta Barat , Cengkareng , Rawa Buaya ,1917, Taman Lingkungan 
Taman Buncis, Jakarta Barat , Cengkareng , Rawa Buaya ,1737, Taman Lingkungan 
Taman Al-Amanah, Jakarta Barat , Grogol Petamburan , -   ,1768, Taman Lingkungan 
Taman Rasa Sayang, Jakarta Barat , Grogol Petamburan , -   ,2395, Taman Lingkungan 
Taman Tanjung Duren IX, Jakarta Barat , Grogol Petamburan , -   ,853, Taman Lingkungan 
Taman Hadiah Utama II, Jakarta Barat , Grogol Petamburan , -   ,360, Taman Lingkungan 
Taman Susilo IX, Jakarta Barat , Grogol Petamburan , Grogol ,601, Taman Lingkungan 
Taman Air Mancur Empang Grogol, Jakarta Barat , Grogol Petamburan , Grogol ,1503, Taman Lingkungan 
Taman Makaliwe II, Jakarta Barat , Grogol Petamburan , Grogol ,1000, Taman Lingkungan 
Taman Susilo Raya, Jakarta Barat , Grogol Petamburan , Grogol ,4300, Taman Lingkungan 
Taman Makaliwe I, Jakarta Barat , Grogol Petamburan , Grogol ,1000, Taman Lingkungan 
Taman Eks SPBU No.31-11102 Jl.Kyai Tapa, Jakarta Barat , Grogol Petamburan , Grogol ,1175, Taman Lingkungan 
Taman Susilo IIIB, Jakarta Barat , Grogol Petamburan , Grogol ,482, Taman Lingkungan 
Taman Hadiah Utama III D, Jakarta Barat , Grogol Petamburan , Jelambar ,1494, Taman Lingkungan 
Taman Madya Barat I, Jakarta Barat , Grogol Petamburan , Jelambar ,419, Taman Lingkungan 
Taman Hadiah Utama V, Jakarta Barat , Grogol Petamburan , Jelambar ,1008, Taman Lingkungan 
Taman Madya Utama Raya, Jakarta Barat , Grogol Petamburan , Jelambar ,1000, Taman Lingkungan 
Taman Hadiah Utama IIIC, Jakarta Barat , Grogol Petamburan , Jelambar ,295, Taman Lingkungan 
Taman Satria III, Jakarta Barat , Grogol Petamburan , Jelambar ,1017, Taman Lingkungan 
Taman Hadiah Utama I, Jakarta Barat , Grogol Petamburan , Jelambar ,1260, Taman Lingkungan 
Taman Jelambar Baru (Wijaya Kusuma), Jakarta Barat , Grogol Petamburan , Jelambar ,635, Taman Lingkungan 
Taman Jelambar RW 01, Jakarta Barat , Grogol Petamburan , Jelambar ,2706, Taman Lingkungan 
Taman Madya Barat, Jakarta Barat , Grogol Petamburan , Jelambar ,2566, Taman Lingkungan 
Taman Madya Barat II, Jakarta Barat , Grogol Petamburan , Jelambar ,1780, Taman Lingkungan 
Taman Hadiah Utama Raya, Jakarta Barat , Grogol Petamburan , Jelambar ,3739, Taman Lingkungan 
Taman Jelambar Timur IIB, Jakarta Barat , Grogol Petamburan , Jelambar ,993, Taman Lingkungan 
Taman Jelambar RW 02, Jakarta Barat , Grogol Petamburan , Jelambar ,1082, Taman Lingkungan 
Taman Hadiah Utama IVA, Jakarta Barat , Grogol Petamburan , Jelambar ,654, Taman Lingkungan 
Taman Madya Timur II, Jakarta Barat , Grogol Petamburan , Jelambar ,733, Taman Lingkungan 
Taman Staria, Jakarta Barat , Grogol Petamburan , Jelambar ,1017, Taman Lingkungan 
Taman Hadiah Utama IV, Jakarta Barat , Grogol Petamburan , Jelambar ,762, Taman Lingkungan 
Taman Jelambar Baru, Jakarta Barat , Grogol Petamburan , Jelambar Baru ,635, Taman Lingkungan 
Taman Pakuwon, Jakarta Barat , Grogol Petamburan , Jelambar Baru ,550, Taman Lingkungan 
Taman Tg Duren Selatan III, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,750, Taman Lingkungan 
Taman Delima I, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,1081, Taman Lingkungan 
Taman Dukuh II, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,781, Taman Lingkungan 
Taman R Dinas Walikota, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,1, Taman Lingkungan 
Taman Manggis III, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,927, Taman Lingkungan 
Taman Menteng II, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,732, Taman Lingkungan 
Taman Tanj. Duren Timur II A, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,811, Taman Lingkungan 
Taman Tg Duren Selatan I, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,582, Taman Lingkungan 
Taman Rambutan, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,3027, Taman Lingkungan 
Taman Lontar Timur, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,693, Taman Lingkungan 
Taman Dukuh III, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,802, Taman Lingkungan 
Taman Lontar (Grogol), Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,869, Taman Lingkungan 
Taman Manggis XIX, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,635, Taman Lingkungan 
Taman Lereng I, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,780, Taman Lingkungan 
Taman Lereng II, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,286, Taman Lingkungan 
Taman Way Seputih, Jakarta Barat , Grogol Petamburan , Tanjung Duren Selatan ,869, Taman Lingkungan 
Taman Tanj. Duren Utara VII C, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1938, Taman Lingkungan 
Taman Tanj. Duren Utara VII A, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1629, Taman Lingkungan 
Taman Tanjung Duren VI, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1363, Taman Lingkungan 
Taman Tanj. Duren Utara III E, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1800, Taman Lingkungan 
Taman Tanjung Duren Utara IVA, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1590, Taman Lingkungan 
Taman Sekretaris, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1000, Taman Lingkungan 
Taman Tanj. Duren Utara VIII A, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1269, Taman Lingkungan 
Taman Depan Kec. Gropet, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,131, Taman Lingkungan 
Taman Tanj. Duren Utara VI A, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1421, Taman Lingkungan 
Taman Tanj. Duren Utara III C, Jakarta Barat , Grogol Petamburan , Tanjung Duren Utara ,1423, Taman Lingkungan 
Taman Mandala Barat, Jakarta Barat , Grogol Petamburan , Tomang ,473, Taman Lingkungan 
Taman Pulo Macan, Jakarta Barat , Grogol Petamburan , Tomang ,1388, Taman Lingkungan 
Taman Mandala Barat I, Jakarta Barat , Grogol Petamburan , Tomang ,185, Taman Lingkungan 
Taman Permata, Jakarta Barat , Grogol Petamburan , Tomang ,1639, Taman Lingkungan 
Taman CPG Bappenas, Jakarta Barat , Grogol Petamburan , Tomang ,647, Taman Lingkungan 
Taman Mandala Barat 1, Jakarta Barat , Grogol Petamburan , Tomang ,185, Taman Lingkungan 
Taman Sumonggol, Jakarta Barat , Kali Deres , Kamal ,902, Taman Lingkungan 
Taman Rw 06, Jakarta Barat , Kali Deres , Kamal ,932, Taman Lingkungan 
Taman RT 10/03, Jakarta Barat , Kali Deres , Kamal ,800, Taman Lingkungan 
Taman Sumur Bor, Jakarta Barat , Kali Deres , Kamal ,1478, Taman Lingkungan 
Taman Rw 08, Jakarta Barat , Kali Deres , Kamal ,761, Taman Lingkungan 
Taman Rt 09/03, Jakarta Barat , Kali Deres , Kamal ,1336, Taman Lingkungan 
Taman Segitiga Peta Barat, Jakarta Barat , Kali Deres , Pegadungan ,160, Taman Lingkungan 
Taman Segitiga, Jakarta Barat , Kali Deres , Pegadungan ,115, Taman Lingkungan 
Taman Elang Bondol, Jakarta Barat , Kali Deres , Semanan ,177, Taman Lingkungan 
Taman Kramat, Jakarta Barat , Kali Deres , Semanan ,153, Taman Lingkungan 
Taman Kopti, Jakarta Barat , Kali Deres , Semanan ,1020, Taman Lingkungan 
Taman Yudistira, Jakarta Barat , Kali Deres , Tegal Alur ,175, Taman Lingkungan 
Taman Pelopor, Jakarta Barat , Kali Deres , Tegal Alur ,1505, Taman Lingkungan 
Taman Menvo, Jakarta Barat , Kali Deres , Tegal Alur ,384, Taman Lingkungan 
Taman Mirinda Dalam, Jakarta Barat , Kali Deres , Tegal Alur ,201, Taman Lingkungan 
Taman Malioboro, Jakarta Barat , Kali Deres , Tegal Alur ,469, Taman Lingkungan 
Taman Bahagia I, Jakarta Barat , Kali Deres , Tegal Alur ,150, Taman Lingkungan 
Taman Bhakti Mulya, Jakarta Barat , Kali Deres , Tegal Alur ,986, Taman Lingkungan 
Taman Mushola X, Jakarta Barat , Kali Deres , Tegal Alur ,193, Taman Lingkungan 
Taman Anggrek Biru, Jakarta Barat , Kali Deres , Tegal Alur ,2128, Taman Lingkungan 
Taman Komp Kebersihan I, Jakarta Barat , Kali Deres , Tegal Alur ,836, Taman Lingkungan 
Taman Bahagia III, Jakarta Barat , Kali Deres , Tegal Alur ,144, Taman Lingkungan 
Taman Malioboro III, Jakarta Barat , Kali Deres , Tegal Alur ,153, Taman Lingkungan 
Taman Sipon, Jakarta Barat , Kali Deres , Tegal Alur ,1234, Taman Lingkungan 
Taman Sukatani, Jakarta Barat , Kali Deres , Tegal Alur ,176, Taman Lingkungan 
Taman Kebersihan II, Jakarta Barat , Kali Deres , Tegal Alur ,2612, Taman Lingkungan 
Taman Musholla, Jakarta Barat , Kali Deres , Tegal Alur ,2294, Taman Lingkungan 
Taman Kebon Raya, Jakarta Barat , Kebon Jeruk , Duri Kepa ,1947, Taman Lingkungan 
Taman Sebrang Kecamatan, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,2267, Taman Lingkungan 
Taman Flamboyan ( Kbn Jeruk ), Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,2055, Taman Lingkungan 
Taman Komplek DPR I, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,329, Taman Lingkungan 
Taman Melur, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,1064, Taman Lingkungan 
Taman Komp. Pemadam Kb. Jeruk, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,1441, Taman Lingkungan 
Taman Sangkrini, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,477, Taman Lingkungan 
Taman Kantor Kecamatan Kebon Jeruk, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,3061, Taman Lingkungan 
Taman Komp. Kebon Jeruk, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,2563, Taman Lingkungan 
Taman Koramil, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,622, Taman Lingkungan 
Taman Komp. DKI Joglo Blok R, Jakarta Barat , Kembangan , Joglo ,1652, Taman Lingkungan 
Taman Komp. DKI Blok Z, Jakarta Barat , Kembangan , Joglo ,1883, Taman Lingkungan 
Taman Komp. DKI Joglo Blok D, Jakarta Barat , Kembangan , Joglo ,750, Taman Lingkungan 
Taman Komp. DKI Blok E, Jakarta Barat , Kembangan , Joglo ,886, Taman Lingkungan 
Taman Komp. DKI Joglo Blok M, Jakarta Barat , Kembangan , Joglo ,879, Taman Lingkungan 
Taman Komp. DKI Blok F, Jakarta Barat , Kembangan , Joglo ,762, Taman Lingkungan 
Taman Komp. Pemadam Kebakaran, Jakarta Barat , Kembangan , Joglo ,3977, Taman Lingkungan 
Taman Kec.(Kembangan Brt), Jakarta Barat , Kembangan , Kembangan Selatan ,2500, Taman Lingkungan 
Taman Aries Utama 3, Jakarta Barat , Kembangan , Kembangan Utara ,1605, Taman Lingkungan 
Taman Interaktif, Jakarta Barat , Kembangan , Kembangan Utara ,815, Taman Lingkungan 
Taman Komp. BTN I, Jakarta Barat , Kembangan , Kembangan Utara ,1290, Taman Lingkungan 
Taman Komp. Unilever (Srengseng B), Jakarta Barat , Kembangan , Meruya Selatan ,2657, Taman Lingkungan 
Taman Komp. Walikota Blok C, Jakarta Barat , Kembangan , Meruya Selatan ,2100, Taman Lingkungan 
Taman Komp. Unilever (Srengseng A), Jakarta Barat , Kembangan , Meruya Selatan ,1266, Taman Lingkungan 
Taman Komp. Walikota Blok D, Jakarta Barat , Kembangan , Meruya Selatan ,705, Taman Lingkungan 
Taman Aries Utama I, Jakarta Barat , Kembangan , Meruya Utara ,1211, Taman Lingkungan 
Taman Nagasari, Jakarta Barat , Kembangan , Meruya Utara ,1025, Taman Lingkungan 
Taman Komp. BPPT, Jakarta Barat , Kembangan , Meruya Utara ,3006, Taman Lingkungan 
Taman Aries Elok I Blok F, Jakarta Barat , Kembangan , Meruya Utara ,2087, Taman Lingkungan 
Taman Blok H Rt 2 Rw 7, Jakarta Barat , Kembangan , Meruya Utara ,1601, Taman Lingkungan 
Taman Anggrek Dahlia I, Jakarta Barat , Kembangan , Meruya Utara ,5447, Taman Lingkungan 
Taman Sedap Malam, Jakarta Barat , Kembangan , Meruya Utara ,437, Taman Lingkungan 
Taman Buni, Jakarta Barat , Palmerah , Jati Pulo ,272, Taman Lingkungan 
Taman Anggrek Neli Murni 5, Jakarta Barat , Palmerah , Kemanggisan ,1180, Taman Lingkungan 
Taman Anggrek Nely Murni 2 Blok C, Jakarta Barat , Palmerah , Kemanggisan ,603, Taman Lingkungan 
Taman Anggrek Neli Murni 11, Jakarta Barat , Palmerah , Kemanggisan ,467, Taman Lingkungan 
