Tahun,Kabupaten,Kecamatan,Kelurahan,Status Perkawinan,Jumlah Penduduk,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Belum Kawin,33921,33921,34736,424,1575
2015,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Belum Kawin,22667,22667,21749,285,1162
2015,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Belum Kawin,17757,17757,16102,325,1418
2015,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Belum Kawin,30029,30029,27732,641,1981
2015,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Belum Kawin,39172,39172,39222,682,1960
2015,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Belum Kawin,25881,25881,24319,425,1352
2015,JAKARTA UTARA,KOJA,KOJA,Belum Kawin,17389,17389,15908,359,1168
2015,JAKARTA UTARA,KOJA,TUGU UTARA,Belum Kawin,39741,39741,37637,560,1734
2015,JAKARTA UTARA,KOJA,LAGOA,Belum Kawin,34523,34523,31770,581,2050
2015,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Belum Kawin,20248,20248,19273,362,1188
2015,JAKARTA UTARA,KOJA,TUGU SELATAN,Belum Kawin,23601,23601,21940,297,862
2015,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Belum Kawin,23750,23750,22512,289,1137
2015,JAKARTA UTARA,CILINCING,CILINCING,Belum Kawin,25525,25525,23790,361,1123
2015,JAKARTA UTARA,CILINCING,SUKAPURA,Belum Kawin,31611,31611,32273,360,735
2015,JAKARTA UTARA,CILINCING,MARUNDA,Belum Kawin,14918,14918,13655,234,658
2015,JAKARTA UTARA,CILINCING,KALI BARU,Belum Kawin,42846,42846,37779,998,1971
2015,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Belum Kawin,20521,20521,19030,325,1008
2015,JAKARTA UTARA,CILINCING,ROROTAN,Belum Kawin,21528,21528,20395,206,793
2015,JAKARTA UTARA,CILINCING,SEMPER BARAT,Belum Kawin,38747,38747,37159,445,1840
2015,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Belum Kawin,20610,20610,20571,285,1060
2015,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Belum Kawin,43651,43651,43134,539,1399
2015,JAKARTA UTARA,PADEMANGAN,ANCOL,Belum Kawin,14912,14912,14943,227,526
2015,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Belum Kawin,17571,17571,18803,350,1165
2015,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Belum Kawin,25557,25557,26859,351,1055
2015,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Belum Kawin,19027,19027,19388,415,989
2015,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Belum Kawin,36603,36603,35005,362,1005
2015,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Belum Kawin,42402,42402,40909,291,842
2015,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Belum Kawin,33563,33563,34489,180,340
2015,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Belum Kawin,17385,17385,18502,109,248
2015,JAKARTA BARAT,CENGKARENG,KAPUK,Belum Kawin,71934,71934,74250,591,1416
2015,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,Belum Kawin,43357,43357,42661,496,1154
2015,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,Belum Kawin,9335,9335,9580,205,566
2015,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,Belum Kawin,9255,9255,9410,187,586
2015,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,Belum Kawin,16468,16468,16829,246,564
2015,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Belum Kawin,16546,16546,17148,241,673
