Tahun,Kabupaten,Kecamatan,Kelurahan,Status Perkawinan,Jumlah Penduduk,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,JAKARTA TIMUR,MAKASAR,MAKASAR,Belum Kawin,18771,18771,19766,209,1105
2015,JAKARTA TIMUR,MAKASAR,PINANG RANTI,Belum Kawin,14648,14648,13959,262,677
2015,JAKARTA TIMUR,MAKASAR,KEBON PALA,Belum Kawin,25899,25899,25447,481,1781
2015,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,Belum Kawin,17168,17168,16344,138,633
2015,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,Belum Kawin,24053,24053,23142,377,1421
2015,JAKARTA TIMUR,CIRACAS,CIRACAS,Belum Kawin,35413,35413,34795,470,1697
2015,JAKARTA TIMUR,CIRACAS,CIBUBUR,Belum Kawin,35399,35399,35381,508,1527
2015,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,Belum Kawin,24322,24322,23861,327,1215
2015,JAKARTA TIMUR,CIRACAS,SUSUKAN,Belum Kawin,20810,20810,21264,242,800
2015,JAKARTA TIMUR,CIRACAS,RAMBUTAN,Belum Kawin,20343,20343,19775,241,904
2015,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,Belum Kawin,13790,13790,12596,191,606
2015,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,Belum Kawin,14444,14444,13420,171,577
2015,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,Belum Kawin,13154,13154,12712,142,504
2015,JAKARTA TIMUR,CIPAYUNG,MUNJUL,Belum Kawin,12508,12508,12239,241,691
2015,JAKARTA TIMUR,CIPAYUNG,SETU,Belum Kawin,10251,10251,10309,143,321
2015,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,Belum Kawin,13496,13496,13682,213,519
2015,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,Belum Kawin,34546,34546,33394,323,1528
2015,JAKARTA TIMUR,CIPAYUNG,CEGER,Belum Kawin,10196,10196,9887,105,209
